,title,price,link
0,"15.6"" Pink Laptop,12th Gen N95(Up to 3.4Ghz),DDR4 32G RAM, 512GB NVME SSD, Windows 11&Office 2019,Fingerprint Lock,Portable Notebook PC with Backlit KB (GB, 512)",399.,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3ODUyNzA5MDEzODg4NzU6MTc0MTE1NTc5NzpzcF9tdGY6MzAwNDQ0MjY0Nzc3NTAyOjowOjo&url=%2FOMSERVB-Windows-Fingerprint-Portable-Notebook%2Fdp%2FB0DBV5B1CL%2Fref%3Dsr_1_284_sspa%3Fdib%3DeyJ2IjoiMSJ9.2RmAJz_hXGQajL5YfeIzBpPzhvFGLDP_cVEoEI5i-JnWSk2ige44cWIbUTpUDcFXR1c-5VJwAehKUXMyu4vhAbmTD-YbgV0Q4w3rSlf8oIBPwDoH86JB8mhsTUP_IDzEZAx0kDGtl_q8-7Y2UrdwPovOrwQEStsItgThSUO19HLCYYMEvocylbcuDoAmcQDVd0d4JZ18nQnNdadlsMSh3HDIWGT19oLQVcHWFZSLMqw.hjCeUNo6kBBRhNcbBPTHfZqICLv7-ZnnZvdJ2MRgMwY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1741155797%26sr%3D8-284-spons%26xpid%3DuW8GwMmN4XoFi%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
1,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 256GB Storage (128GB eMMC + 128GB USB Card), Intel UHD Graphics, HD Camera, Fast Charge, 1 Year Office 365, Win 11 S, Gold",255.,https://amazon.in//HP-Stream-BrightView-N4120-Graphics/dp/B0D3GWGB66/ref=sr_1_118?dib=eyJ2IjoiMSJ9.elSLn3IrYBBKpQ3gI9PriYTUpoQgoigQ_WNqI_596qcUFuyc4ag9n3_qASz66xJJGitA78c1lBNCwryC_GIDtSXubCRlzFMlHYe4MhZXYWGGGE8tH0e9TUsMg_DDxXxZQHynrbWgIRqjspcQMdeyBMnn_psqyl9NPNVDC2xRiquOH_LEgDfvycidrNDcj8VrJAVXGFZLgmoQForxXM_MYsSsjezXkkKbbeaijwSK-_s.wnSPqHEiQUbdC4Q2kXTHQnvxHhNYFZ7pIdtPIY2DVOA&dib_tag=se&keywords=laptop&qid=1741155713&sr=8-118&xpid=uW8GwMmN4XoFi
2,"Dell Inspiron 3520 15.6"" Touchscreen i7 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1255U, 32GB RAM, 1TB SSD, Numeric Keypad, Webcam, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",619.,https://amazon.in//Dell-Inspiron-3520-Touchscreen-i7-1255U/dp/B0D951M4F8/ref=sr_1_26?dib=eyJ2IjoiMSJ9.AbCoF6zXQd_e4d7E015MfjH0iB_keXoytXrnBR8BLd1bwDcK5KvXD-q27njDnXrOa8pMA-YLKoHsGCyTqvdjGvX023VukaToUk5j8F8Ye81p7pI67snyxd4YCUpl_lvutwsRiF_RV9k4rZHx8I6mLp7ehdVYd3fZOlnAblPguQYCPm5uRxXcOteMMatTBieJpni4xZJcLsJ0pEkarEgfxChldFAAiGL-Ah6HtsUJ2sI.vqe9G8l6i_L_V7eC7WHSIoFkl982ooKM8jox8dNg3ME&dib_tag=se&keywords=laptop&qid=1741155669&sr=8-26&xpid=uW8GwMmN4XoFi
3,"HP 15.6"" Touchscreen Laptop 15 INCH HD Student Laptops, 12th Gen Intel 10 Cores i5 Processor (Beat i7-1195G7), 16GB RAM 1TB PCIe SSD, Iris Xe Graphics, Wi-Fi 6E Win11, Silver +BWE Accessories",485.,https://amazon.in//HP-15-6-Touchscreen-Processor-Accessories/dp/B0DS2N25XR/ref=sr_1_89?dib=eyJ2IjoiMSJ9.6uEEBG7-drv_-vQOS0W4FRm-OhU5pmjXxKWviKCGJGvN27BXZ7ymXjYMn1Ljbt8HK_PNxd_zZY4CA89mPWuXycPzJGin5wtQsJ8qTY4Q9YlsmteMF6LmWrbCu0e2bSioULgNzfluIJz8OhpWM58FG5WxaQlelXxieM4Vy4jfMmgG0aFDlwr_VQ60ZgT7thYnQXooM5mWgpkpjcC-dNKomgNjku-Stp33MmkJ3cQ-I50.RaeOTA1GIRpYrP0SZDrdr45GGxxFU3fg3Z2lKB_TLkc&dib_tag=se&keywords=laptop&qid=1741155699&sr=8-89&xpid=uW8GwMmN4XoFi
4,"Lenovo ThinkBook 16 G6 16"" FHD+ Laptop Computer, AMD 8-Core Ryzen 7 7730U (Beat i7-1360P), 64GB DDR4 RAM, 2TB PCIe SSD, WiFi 6, Bluetooth 5.3, Type-C 3.2, Fingerprint Reader, Windows 11 Pro, AZ-XUT",849.,https://amazon.in//Lenovo-ThinkBook-16-G6-Fingerprint/dp/B0DKWQ9KHW/ref=sr_1_51?dib=eyJ2IjoiMSJ9.r1u4huTLcnkkNpBvSyl7IsgRcx8hilBtTZQPuCzDPCxYg4n5ubwuRnjfOtESQuI51U2HKDd2AL44A6xR8RvcKmWKEDTHMv1vDm1_vkKi9cEwLI3MCJa6Td9kf1ramp0FT1yZKvXFN27jlRuOld0kULhtHHQR9FYnQyMUoYGVLSs8OBCg42tUyrwglaJoYCO5vBCu8LTe2f7pKgoZTLexv5r99pqK0c2bQZ__UpOz0fI.tspMDXzhHdxhzCyy7RunL16YPLUtmt0cBBCDLs_NByo&dib_tag=se&keywords=laptop&qid=1741155685&sr=8-51&xpid=uW8GwMmN4XoFi
5,"ACEMAGIC 2025 Laptop,17.3-Inch FHD Display Laptop Computer with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Gaming Laptop Computer, 6000Mah Battery,Silver","1,499.",https://amazon.in//ACEMAGIC-17-3-Inch-Display-Computer-Core-12th/dp/B0DXDTM525/ref=sr_1_63?dib=eyJ2IjoiMSJ9.r1u4huTLcnkkNpBvSyl7IsgRcx8hilBtTZQPuCzDPCxYg4n5ubwuRnjfOtESQuI51U2HKDd2AL44A6xR8RvcKmWKEDTHMv1vDm1_vkKi9cEwLI3MCJa6Td9kf1ramp0FT1yZKvXFN27jlRuOld0kULhtHHQR9FYnQyMUoYGVLSs8OBCg42tUyrwglaJoYCO5vBCu8LTe2f7pKgoZTLexv5r99pqK0c2bQZ__UpOz0fI.tspMDXzhHdxhzCyy7RunL16YPLUtmt0cBBCDLs_NByo&dib_tag=se&keywords=laptop&qid=1741155685&sr=8-63&xpid=uW8GwMmN4XoFi
6,"HP New 14"" HD Ultra Light Thin Laptop, Quad-Core Intel Celeron Processor, 16GB RAM, 320GB (64GB eMMC+ 256GB Card), Wi-Fi, Upto 11 Hours, Windows 11 S + 1 Year Office 365+HubxcelAccessory, Pink",278.,https://amazon.in//HP-Newest-14-Laptop-HubxcelAccessory/dp/B0CSBZJZYP/ref=sr_1_163?dib=eyJ2IjoiMSJ9.1ga78_mJCAfXFWP8aERLk7_9PNEzTkoO2C9M_EhdT4MYYvkqRE5jWfbZsBrBqUuMCYu7KujLdSjcHDbBbVtauIDILWcQIFBs6ZhGwmADMGTPcfxe8X_zGeY6IET1VzU3xQXJDNwkRPEQt0iCgAY8F5mYTg-yeBq2fLR8-3-Imwk9MEGA6ty2XuKzukz1_0oAvA_AERu13x1aJKVSi9VwpnKv83KGRLGqY38vJdiY1co.sjPs2yrPMVQIgeuwmpRenQFjoK8eFUEQeIoGE_dL2u4&dib_tag=se&keywords=laptop&qid=1741155735&sr=8-163&xpid=uW8GwMmN4XoFi
7,"Oemgenuine 2024 Dell Latitude 3550 Notebook 15.6” FHD, Intel 10 Core i5-1335U (Beats i7-1270P), 16GB DDR5 RAM, 512GB NVMe, WiFi 6E, BT, Backlit Keyboard, HD Webcam, RJ-45, Win 11 Pro, Business Laptop",819.,https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MjY3MjkyMzA5NzgxOTczOjE3NDExNTU3ODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDYyNDgwNzE0NjQwMjo6MTo6&url=%2FLatitude-3520-Notebook-1920x1080-i5-1135G7%2Fdp%2FB09MSSCCGT%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4a16a21a-e7b4-469f-ae74-eabb35fb2862%253Aamzn1.sym.4a16a21a-e7b4-469f-ae74-eabb35fb2862%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB09MSSCCGT%26pd_rd_r%3Dccd8228d-972d-4505-a8dd-7dc1bb4c00a1%26pd_rd_w%3DTKHEk%26pd_rd_wg%3Ds5ieX%26pf_rd_p%3D4a16a21a-e7b4-469f-ae74-eabb35fb2862%26pf_rd_r%3D73BVJNRDBVJK36C7AJ13%26qid%3D1741155780%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-242-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26xpid%3DuW8GwMmN4XoFi%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
8,"HP Stream 14"" HD Lightweight Laptop, Intel Celeron N4120, 16GB RAM, 224GB Storage(64GB eMMC + 160GB Docking Station), Intel UHD Graphics, HD Webcam, 1 Year Office 365, WiFi, Bluetooth, Win 11s, Silver",299.,https://amazon.in//sspa/click?ie=UTF8&spc=MTo0ODExMzc2MzcxOTAyMjAzOjE3NDExNTU2ODU6c3BfbXRmOjMwMDMyNDQ0OTk4NzEwMjo6MDo6&url=%2FHP-Stream-Lightweight-Graphics-Bluetooth%2Fdp%2FB0D3GRQZ6F%2Fref%3Dsr_1_60_sspa%3Fdib%3DeyJ2IjoiMSJ9.r1u4huTLcnkkNpBvSyl7IsgRcx8hilBtTZQPuCzDPCxYg4n5ubwuRnjfOtESQuI51U2HKDd2AL44A6xR8RvcKmWKEDTHMv1vDm1_vkKi9cEwLI3MCJa6Td9kf1ramp0FT1yZKvXFN27jlRuOld0kULhtHHQR9FYnQyMUoYGVLSs8OBCg42tUyrwglaJoYCO5vBCu8LTe2f7pKgoZTLexv5r99pqK0c2bQZ__UpOz0fI.tspMDXzhHdxhzCyy7RunL16YPLUtmt0cBBCDLs_NByo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1741155685%26sr%3D8-60-spons%26xpid%3DuW8GwMmN4XoFi%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
9,"8"" Mini Laptop, 2-in-1 Laptop Tablet Small Laptop Computer HD Touchscreen Pocket PC,Windows 11 Pro, Intel N100 4-Core, 12GB LPDDR5 RAM, 1TB M.2 SSD, WiFi 6, Gigabit Ethernet",479.,https://amazon.in//KOOTIGERS-Computer-Touchscreen-Windows-Ethernet/dp/B0DGLJ74NT/ref=sr_1_228?dib=eyJ2IjoiMSJ9.eNBY0nyM7OcA-a9ECN3eI3eV5m5h23-0vWTf-u_8UNYwM6B7Ir30p1V4PyDr6yzsNWWcDV54ip9fmRFC3N6QjeDydYdOcYobWQfI-87wonXR9p_PeR4FTTvF1V_-pHqtKEXqm4RAJry_Ex8tB1JTNsHlnHmS2INxWb1NKy24YKP7gP9L6ADDk8-c_w1fYDZ8_ByxpABQCjeZuPUzdzUpyUg-9sJ8ZS8hdkGsaLFftmI.z3nwGYyyz4W_nqgTq2iJTDeiMk2KuOVWtyDF9b2bn48&dib_tag=se&keywords=laptop&qid=1741155763&sr=8-228&xpid=uW8GwMmN4XoFi
